"ROUND(AVG(a.sales_amount),0)",MONTH(a.order_date),YEAR(a.order_date),group_type
2813,7,2001,multiple_purch_first_month
2773,8,2001,multiple_purch_first_month
3578,9,2001,multiple_purch_first_month
3531,10,2001,multiple_purch_first_month
3519,11,2001,multiple_purch_first_month
2999,12,2001,multiple_purch_first_month
2615,1,2002,multiple_purch_first_month
1979,2,2002,multiple_purch_first_month
3317,3,2002,multiple_purch_first_month
3083,4,2002,multiple_purch_first_month
3578,5,2002,multiple_purch_first_month
3020,6,2002,multiple_purch_first_month
2312,7,2002,multiple_purch_first_month
1894,8,2002,multiple_purch_first_month
1617,9,2002,multiple_purch_first_month
1485,10,2002,multiple_purch_first_month
2183,11,2002,multiple_purch_first_month
1775,12,2002,multiple_purch_first_month
1406,1,2003,multiple_purch_first_month
1591,2,2003,multiple_purch_first_month
1807,3,2003,multiple_purch_first_month
1749,4,2003,multiple_purch_first_month
1613,5,2003,multiple_purch_first_month
1707,6,2003,multiple_purch_first_month
566,7,2003,multiple_purch_first_month
269,8,2003,multiple_purch_first_month
250,9,2003,multiple_purch_first_month
287,10,2003,multiple_purch_first_month
358,11,2003,multiple_purch_first_month
375,12,2003,multiple_purch_first_month
354,1,2004,multiple_purch_first_month
334,2,2004,multiple_purch_first_month
349,3,2004,multiple_purch_first_month
317,4,2004,multiple_purch_first_month
367,5,2004,multiple_purch_first_month
386,6,2004,multiple_purch_first_month
358,7,2004,multiple_purch_first_month
402,8,2004,multiple_purch_first_month
373,9,2004,multiple_purch_first_month
362,10,2004,multiple_purch_first_month
266,11,2004,multiple_purch_first_month
348,12,2004,multiple_purch_first_month
467,1,2005,multiple_purch_first_month
481,2,2005,multiple_purch_first_month
411,3,2005,multiple_purch_first_month
486,4,2005,multiple_purch_first_month
497,5,2005,multiple_purch_first_month
428,6,2005,multiple_purch_first_month
440,7,2005,multiple_purch_first_month
447,8,2005,multiple_purch_first_month
465,9,2005,multiple_purch_first_month
440,10,2005,multiple_purch_first_month
452,11,2005,multiple_purch_first_month
601,12,2005,multiple_purch_first_month
3248,7,2001,control_group
3226,8,2001,control_group
3095,9,2001,control_group
3044,10,2001,control_group
3075,11,2001,control_group
3074,12,2001,control_group
3071,1,2002,control_group
3218,2,2002,control_group
3219,3,2002,control_group
3222,4,2002,control_group
3115,5,2002,control_group
3204,6,2002,control_group
1930,7,2002,control_group
1937,8,2002,control_group
1790,9,2002,control_group
1819,10,2002,control_group
1700,11,2002,control_group
1767,12,2002,control_group
1869,1,2003,control_group
1842,2,2003,control_group
1845,3,2003,control_group
1751,4,2003,control_group
1705,5,2003,control_group
1754,6,2003,control_group
789,7,2003,control_group
306,8,2003,control_group
348,9,2003,control_group
342,10,2003,control_group
345,11,2003,control_group
363,12,2003,control_group
343,1,2004,control_group
390,2,2004,control_group
376,3,2004,control_group
379,4,2004,control_group
399,5,2004,control_group
402,6,2004,control_group
420,7,2004,control_group
488,8,2004,control_group
494,9,2004,control_group
496,10,2004,control_group
399,11,2004,control_group
430,12,2004,control_group
468,1,2005,control_group
444,2,2005,control_group
478,3,2005,control_group
500,4,2005,control_group
540,5,2005,control_group
505,6,2005,control_group
543,7,2005,control_group
529,8,2005,control_group
510,9,2005,control_group
492,10,2005,control_group
472,11,2005,control_group
540,12,2005,control_group
